"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
490,"2160","","",26,4,"Thitu Is.",1867,288
128,"2163","","",22,3,"Tianjin",1870,61
469,"2162","","",29,5,"Thursday I.",1869,269
352,"1947","","",27,4,"Seram",1654,194
15,"1908","","[Argentina]",50,8,"Santa Cruz",1615,4
16,"1909","","",50,8,"Santa Fé",1616,4
219,"1906","","[Galápagos]",48,8,"Santa Cruz I.",1613,113
491,"1907","","[South Pacific]",31,6,"Santa Cruz Is.",1614,289
108,"1904","","",49,8,"Santa Catarina",1611,49
111,"1905","","[California]",41,7,"Santa Cruz I.",1612,52
513,"1902","","",27,4,"Sangir Is.",1609,307
111,"1903","","",41,7,"Santa Catalina I.",1610,52
243,"1900","","",34,6,"Sand I.",1607,129
241,"1901","Hawai'ian Is.","",34,6,"Sandwich Is.",1608,129
211,"854","","",1,1,"Finland",565,107
339,"855","","",15,2,"Flat I.",566,182
328,"856","","",32,6,"Flint I.",567,174
53,"857","","[Azores]",7,2,"Flores",568,25
503,"850","","",31,6,"Feni Is.",561,300
87,"851","","",49,8,"Fernando de Noronha",562,46
224,"852","Bioko","",9,2,"Fernando Po",563,117
210,"853","","",31,6,"Fiji",564,106
333,"858","","[Indonesia]",27,4,"Flores",569,176
212,"859","","",43,7,"Florida",570,108
32,"6","","territory of U.S.A.",35,7,"Aleutian Is.",6,11
309,"2463","","",24,3,"Minami-io-jima",2161,165
257,"740","","",25,4,"Daman",451,137
540,"741","Pukapuka","",31,6,"Danger I.",452,326
193,"742","Denmark","",1,1,"Danmark",453,92
203,"743","Darjiling","",25,4,"Darjeeling",454,137
203,"744","","",25,4,"Darjiling",455,137
502,"745","","",10,2,"Darsa I.",456,299
438,"746","","",27,4,"Daru I.",457,240
469,"747","","",29,5,"Dauan I.",458,269
192,"748","","",43,7,"Delaware",459,91
255,"749","","",25,4,"Delhi",460,137
545,"1798","","",32,6,"Rangiroa",1505,329
232,"1050","","",4,1,"Ionioi Nisoi",761,123
