"areaID","synonym","name","stateID","notes","regionID","id","kew_regionID"
54,"","Cambodge",113,"",26,296,23
70,"","Cameroon",164,"",9,297,15
70,"Cameroon","Cameroun",164,"",9,298,15
23,"","Campbell I.",50,"",30,299,10
211,"","Campeche",395,"",44,300,13
"","Regions 70 Subarctic America, 71 Western Canada and 72 Eastern Canada","Canada","","excluding St.Pierre-Miquelon","",301,3
72,"","Canary Is.",166,"I. Province of Spain",7,302,11
354,"","Canouan",582,"part of Grenadines of St.Vincent",46,303,7
62,"Guangzhou","Canton",136,"",22,304,17
262,"Kanton I.","Canton I.",461,"",31,305,5
80,"","Cape Province","","",13,306,18
87,"","Cape Verde",187,"",7,307,14
81,"","Caprivi Strip",180,"",13,308,18
309,"","Caratasca Cays",516,"",46,309,13
181,"","Cargados Carajos",338,"",15,310,22
116,"","Caroco Is.",224,"",9,311,15
173,"","Caroline I.",327,"[Central Pacific]",32,312,25
82,"","Caroline Is.","","part of Trust Territory of Pacific Is. (United Nations Trust Territory administered by U.S.A.)",33,313,28
159,"Karpathos","Carpathos",303,"",4,314,2
354,"","Carriacao",579,"one of Grenadines of Grenada",46,315,7
351,"","Cartier Is.",571,"",29,316,9
26,"","Cat I.",54,"",46,317,7
5,"","Catamarca",18,"",50,318,29
268,"","Cato",467,"",29,319,9
"","Region 33 Caucasus","Caucasus","","",19,320,1
218,"","Caucasus, North","","",19,321,1
26,"","Cay Sal Bank",54,"",46,322,7
110,"","Cayenne",216,"",47,323,21
53,"","Cayman Brac",112,"",46,324,7
53,"","Cayman Is.",112,"U.K. Dependent Territory",46,325,7
46,"","Ceará",86,"",49,326,21
261,"","Cebu",460,"",27,327,31
209,"","Cedros I.",385,"",44,328,13
306,"Sulawesi","Celebes",511,"",27,329,19
51,"Central African Republic","Central African Empire",110,"",9,330,15
51,"","Central African Republic",110,"",9,331,15
79,"","Central American Pacific Is.","","split between areas 14 Central America and 17 West Tropical South America of Kew system",45,332,33
122,"Kefallinia","Cephalonia",231,"",4,333,2
193,"Seram","Ceram",351,"",27,334,19
195,"","Ceuta",354,"",6,335,4
302,"Sri Lanka","Ceylon",507,"",25,336,12
3,"","Chaco",4,"",50,337,29
55,"","Chad",115,"",10,338,15
368,"","Chagos Archipelago",114,"",25,339,22
136,"","Chandigarh",252,"",25,340,12
109,"","Channel Is.",213,"British Crown Dependencies",3,341,2
52,"","Channel Is.",111,"[off California]",41,342,3
15,"","Charcot I.",37,"part of British Antactic Territory",52,343,10
51,"","Chari",110,"",9,344,15
85,"","Chatham Is.",185,"",30,345,34
218,"See Chechnya and Ingushetiya","Checheno-Ingushetiya","","",19,346,1
157,"","Cheju Do",301,"",24,347,17
62,"Zhejiang","Chekiang",147,"",22,348,17
357,"","Chelyabinsk",585,"",16,349,27
288,"","Cherry I.",489,"",31,350,20
238,"","Chesterfield Is.",435,"",31,351,32
211,"","Chiapas",396,"",44,352,13
248,"","Chichijima",446,"",24,353,17
206,"","Chihuahua",372,"",44,354,13
268,"","Chilcott I.",467,"one of Coringa Is.",29,355,9
68,"","Chile North","","",50,356,29
69,"","Chile South","","",50,357,29
"","Region 36 China","China","","",22,358,17
60,"","China North-central","","",22,359,17
56,"","China South-central","","",22,360,17
62,"","China South-east","","",22,361,17
95,"Khios","Chios",196,"",20,362,1
84,"","Chita",184,"",16,363,27
84,"Chita","Chitinskaya Oblast",184,"",16,364,27
254,"","Chitral",452,"",25,365,12
28,"","Chittagong",56,"",25,366,12
299,"","Choiseul",502,"",31,367,20
56,"","Chongqing",118,"",22,368,17
360,"","Christmas I.",588,"[Indian Ocean] External Territory of Australia",27,369,19
173,"","Christmas I.",327,"[Pacific Ocean]",32,370,25
4,"","Chubut",12,"",50,371,29
176,"","Chukota",333,"",17,372,27
56,"Chongqing","Chungking",118,"",22,373,17
274,"","Chuvashiya",474,"",5,374,2
80,"","Ciskei",177,"",13,375,18
143,"Vatican City","Città del Vaticano",283,"",4,376,2
15,"","Clarence I.",37,"one of South Shetland Is., a part of British Antarctic Territory",52,377,10
79,"","Clipperton I.",174,"",45,378,13
206,"","Coahuila",371,"",44,379,13
237,"","Coats I.",434,"",35,380,3
346,"","Coche I.",566,"",46,381,16
345,"","Cochin Chine",565,"",26,382,23
345,"Cochin Chine","Cochinchina",565,"",26,383,23
83,"","Cochons, Isle aux",183,"",51,384,10
13,"","Coco I., Great",35,"",26,385,12
13,"","Coco Is.",35,"",26,386,12
65,"","Cocos (Keeling) Is.",149,"External Territory of Australia",27,387,19
79,"","Cocos I.",175,"[Pacific Ocean]",45,388,16
8,"","Cöetivy",29,"",15,389,22
210,"","Colima",389,"",44,390,13
67,"","Colombia",157,"",48,391,16
309,"","Colombian Caribbean Is.",515,"split between areas 14 Central America and 15 West Indies of Kew system",46,392,33
256,"","Colón I.",455,"",45,393,16
112,"","Colón Archipelago",218,"",48,394,16
73,"","Colorado",167,"",38,395,3
149,"Komandor Is.","Comandor Is.",292,"",17,396,27
74,"","Comoros","","including Mayotte",15,397,22
74,"","Comoros",168,"",15,398,22
345,"","Con Son",565,"",26,399,23
345,"","Condore Is.",565,"part of Con Son",26,400,23
75,"","Congo",170,"",9,401,15
75,"Congo","Congo-Brazzaville",170,"",9,402,15
365,"Zaire","Congo-Kinshasa",600,"",9,403,15
71,"","Connecticut",165,"",40,404,3
136,"Koch Bihar","Cooch Behar",272,"",25,405,12
76,"","Cook Is.",171,"excluding Manihiki Is.; self-governing Territory Overseas in Free Association with New Zealand",32,406,25
68,"","Coquimbo",151,"",50,407,29
268,"","Coral Sea Is. Territory",467,"External Territory of Australia",29,408,9
3,"","Córdoba",6,"",50,409,29
157,"Korea","Corea","","",24,410,17
122,"Kerkira","Corfu",231,"",4,411,2
268,"","Coringa Is.",467,"",29,412,9
101,"","Corisco I.",205,"",9,413,15
309,"Maiz Is.","Corn Is.",517,"",46,414,13
15,"","Coronation I.",37,"one of South Orkney Is.",52,415,10
3,"","Corrientes",5,"",50,416,29
77,"","Corse",172,"I. Region of France",3,417,2
77,"Corse","Corsica",172,"",3,418,2
25,"","Corvo",53,"",7,419,11
95,"Kos","Cos",196,"one of Dhodekanisos",20,420,1
8,"","Cosmoledo",29,"",15,421,22
78,"","Costa Rica",173,"",45,422,13
144,"Ivory Coast","Cote d'Ivoire",284,"",8,423,14
309,"Cayos del E.S.E.","Courtown Cays",515,"",46,424,13
211,"","Cozumel I.",397,"",44,425,13
267,"","Crab I.",466,"",46,426,7
159,"Kriti","Crete",303,"I. Province of Greece",4,427,2
160,"Krym","Crimea",304,"",5,428,2
363,"Montenegro","Crna Gora",596,"",4,429,2
363,"","Croatia",593,"",4,430,2
26,"","Crooked I.",54,"",46,431,7
83,"","Crozet Is.",183,"",51,432,10
86,"","Cuba",186,"",46,433,7
346,"","Cubagua",566,"",46,434,16
267,"","Culebra I.",466,"",46,435,7
112,"","Culpepper I.",218,"",48,436,16
229,"","Curaçao",425,"self-governing I. of Netherlands Antilles",46,437,7
154,"","Curtis I.",297,"",30,438,34
122,"Kikladhes","Cyclades",231,"",4,439,2
88,"","Cyprus",188,"",20,440,1
89,"","Czechoslovakia","","",2,441,2
8,"","D'Arros I.",29,"one of Amirante group",15,442,22
239,"","D'Entrecastaux Is.",437,"",27,443,26
136,"","Dadra",253,"",25,444,12
136,"","Dadra-Nagar-Haveli",253,"",25,445,12
218,"","Dagestan",406,"",19,446,1
218,"Dagestan","Daghestan",406,"",19,447,1
102,"","Dahlak Is.",206,"",10,448,24
29,"Benin","Dahomey",57,"",8,449,14
230,"","Daito Is.",426,"",24,450,17
136,"","Daman",256,"",25,451,12
324,"Pukapuka","Danger I.",538,"",31,452,25
91,"Denmark","Danmark",192,"",1,453,2
136,"Darjiling","Darjeeling",202,"",25,454,12
136,"","Darjiling",202,"",25,455,12
298,"","Darsa I.",500,"",10,456,24
239,"","Daru I.",437,"",27,457,26
268,"","Dauan I.",468,"",29,458,9
90,"","Delaware",191,"",43,459,3
136,"","Delhi",254,"",25,460,12
122,"Dhilos","Delos",231,"one of Kikladhes",4,461,2
292,"","Denis I.",493,"",15,462,22
91,"","Denmark",192,"excluding Foroyar and Greenland",1,463,2
185,"","Deserta Grande",342,"",7,464,11
171,"","Desirade, La",320,"",46,465,7
8,"","Desroches I.",29,"part of Amirante group",15,466,22
94,"","Desventurados Is.",195,"",50,467,29
122,"","Dhilos",231,"one of Kikladhes",4,468,2
95,"","Dhodekanisos",196,"",20,469,1
251,"Zufar","Dhofar",449,"",21,470,1
159,"","Dia",303,"",4,471,2
268,"","Diamond Islets",467,"",29,472,9
368,"","Diego Garcia",114,"",25,473,22
128,"","Disappearing I.",240,"",34,474,35
327,"","Disappointment Is.",543,"",32,475,25
352,"","District of Columbia",573,"",43,476,3
136,"","Diu",255,"",25,477,12
92,"","Djibouti",193,"",10,478,24
171,"","Dog I.",317,"",46,479,7
158,"Taymyr","Dolgano-Nenets",302,"",16,480,27
354,"","Dominica",578,"",46,481,7
93,"","Dominican Republic",194,"",46,482,7
62,"","Dongsha Qundao",136,"",22,483,17
15,"Norwegian Antarctic Territory","Dronning Maud Land",37,"",52,484,10
123,"Dubavy","Dubai",234,"",21,485,1
123,"","Dubayy",234,"",21,486,1
263,"","Ducie I.",462,"",32,487,25
288,"","Duff Is.",489,"",31,488,20
327,"","Duke of Gloucester Is.",543,"",32,489,25
32,"","Duke of York Is.",61,"off New Britain",27,490,26
206,"","Durango",373,"",44,491,13
229,"Netherlands Antilles","Dutch Antilles","","",46,492,7
369,"Surinam","Dutch Guiana",513,"",47,493,21
64,"","Dzungaria",148,"",22,494,17
309,"","E.S.E., Cayos del",515,"",46,495,13
349,"","Eaglestone Reef",569,"",31,496,5
95,"","East Aegean Is.",196,"",20,497,1
115,"","East Germany",221,"",2,498,2
28,"Bangladesh","East Pakistan",56,"",25,499,12
175,"","East Timor",331,"",27,500,19
96,"","Easter I.",197,"",32,501,25
96,"","Easter Is.",197,"",32,502,25
128,"","Eastern I.",242,"",34,503,35
97,"","Ecuador",198,"excluding Galapagos",48,504,16
341,"","Efate",561,"",31,505,20
294,"","Egadi Is.",496,"",4,506,2
98,"","Egypt",199,"excluding Sinai",6,507,1
199,"","Eiao",359,"",32,508,25
139,"Ireland","Eire",276,"",1,509,2
100,"","El Salvador",204,"",45,510,13
143,"","Elba",281,"",4,511,2
15,"","Elephant I.",37,"one of South Shetland Is., part of British Antarctic Territory",52,512,10
26,"","Eleuthera",54,"",46,513,7
224,"","Elizabeth Reef",417,"",29,514,9
243,"","Ellesmere I.",441,"",35,515,3
332,"Tuvalu","Ellice Is.",548,"",31,516,5
15,"","Ellsworth I.",37,"",52,517,10
101,"","Elobey Grande",205,"",9,518,15
341,"","Emae",561,"",31,519,20
262,"","Enderbury I.",461,"",31,520,5
15,"","Enderby Land",37,"part of Australian Antarctic Territory",52,521,10
200,"","Enewetak",360,"part of Ralik chain",33,522,28
307,"","Enggano",512,"",27,523,19
121,"","England",230,"",1,524,2
200,"Enewetak","Eniwetok",360,"part of Ralik chain",33,525,28
3,"","Entre Ríos",8,"",50,526,29
341,"Lopevi","Epi",561,"",31,527,20
101,"","Equatorial Guinea",205,"excluding Annobon and Pagalu",9,528,15
102,"Eritrea","Eritraea",206,"",10,529,24
341,"Erromango","Eromanga",561,"",31,530,20
341,"","Erromango",561,"",31,531,20
102,"Eritraea","Erta",206,"",10,532,24
112,"","Espanola I.",218,"",48,533,16
47,"","Espírito Santo",94,"",49,534,21
341,"","Espiritu Santo",561,"",31,535,20
35,"","Estonia",64,"",5,536,2
35,"Estonia","Estoniya",64,"",5,537,2
103,"","Ethiopia",207,"",10,538,24
325,"","Eua",541,"",31,539,5
122,"Evvoia","Euboea",231,"",4,540,2
182,"","Europa I.",339,"",15,541,22
158,"","Evenki",302,"",16,542,27
122,"","Evvoia",231,"",4,543,2
108,"Foroyar","Faeroe Is.",212,"self-governing I. Territory of Denmark",1,544,2
108,"Foroyar","Faeroerne",212,"",1,545,2
25,"","Faial",53,"",7,546,11
82,"","Fais",181,"",33,547,28
324,"","Fakaofo",540,"",31,548,5
327,"","Fakarava",543,"",32,549,25
104,"","Falkland Is.",208,"excluding South Georgia and South Sandwich Is.; U.K. Crown Colony",51,550,29
327,"","Fangatau",543,"",32,551,25
327,"Fangatau","Fangataufa",543,"",32,552,25
173,"Tabuaeran","Fanning I.",327,"",32,553,25
198,"","Farallon de Medinilla",358,"",33,554,28
284,"","Farasan Is.",484,"",21,555,1
82,"","Faraulep",181,"",33,556,28
8,"","Farquhar I.",29,"part of Providence group",15,557,22
199,"","Fatu Hiva",359,"",32,558,25
299,"","Fauro",502,"one of Shortland Is.",31,559,20
25,"Faial","Fayal",53,"",7,560,11
299,"","Feni Is.",501,"",31,561,20
46,"","Fernando de Noronha",87,"",49,562,21
116,"Bioko","Fernando Po",223,"",9,563,15
105,"","Fiji",209,"",31,564,36
106,"","Finland",210,"",1,565,2
181,"","Flat I.",338,"",15,566,22
173,"","Flint I.",327,"",32,567,25
25,"","Flores",53,"[Azores]",7,568,11
175,"","Flores",332,"[Indonesia]",27,569,19
107,"","Florida",211,"",43,570,3
299,"","Florida Is.",502,"",31,571,20
27,"","Formentera",55,"",3,572,2
3,"","Formosa",9,"[Argentina]",50,573,29
313,"","Formosa",521,"[Asia]",24,574,17
108,"","Føroyar",212,"self-governing I. Territory of Denmark",1,575,2
349,"Futuna","Fotuna",569,"",31,576,5
109,"","France",214,"excluding Corse",3,577,2
109,"","France","","including Channel Is.",3,578,2
243,"","Franklin",441,"",35,579,3
357,"Zemlya Frantsa-Iosifa","Franz Josef Land",585,"",16,580,27
70,"","French Cameroons",164,"",9,581,15
75,"Congo","French Congo",170,"",9,582,15
110,"","French Guiana",216,"",47,583,21
125,"Guinea","French Guinea",236,"",8,584,14
195,"","French Morocco",353,"",6,585,4
92,"Djibouti","French Somaliland",193,"",10,586,24
