id,hybrid,genus,author,synonym_id,family_id
"8883","","Dicliptera","Juss.","","1"
"20512","","Dicranacanthus","Oerst.","8829","1"
"8884","","Didyplosandra","Wight ex Bremek.","9075","1"
"8885","","Diflugossa","Bremek.","9075","1"
"24973","","Dimanisa","Raf.","8942","1"
"8886","","Dinteracanthus","C.B.Clarke ex Schinz","9037","1"
"8887","","Diotacanthus","Benth.","","1"
"8888","","Dipteracanthus","Nees","9037","1"
"8889","","Dischistocalyx","T.Anderson ex Benth.","","1"
"16181","","Disperma","J.F.Gmel.","8894","1"
"22084","","Distichocalyx","Benth.","8889","1"
"8890","","Ditrichospermum","Bremek.","9075","1"
"8891","","Dolichostachys","Benoist","","1"
"8892","","Dossifluga","Bremek.","9075","1"
"8893","","Drejera","Nees","","1"
"16182","","Drejerella","Lindau","8942","1"
"8894","","Duosperma","Dayton","","1"
"24974","","Duvernoia","E.Mey. ex Nees","8942","1"
"8895","","Dyschoriste","Nees","","1"
"24975","","Dyspemptemorion","Bremek.","8942","1"
"20491","","Ebermaiera","Nees","9064","1"
"8896","","Ecbolium","Kurz","","1"
"8897","","Echinacanthus","Nees","","1"
"8898","","Echinopaepale","Bremek.","9075","1"
"20538","","Ecteinanthus","T.Anderson","8937","1"
"8899","","Elytraria","Michx.","","1"
"24976","","Emularia","Raf.","8942","1"
"8900","","Encephalosphaera","Lindau","","1"
"8901","","Endopogon","Nees","9075","1"
"8902","","Endosiphon","T.Anderson ex Benth.","9037","1"
"8903","","Epiclastopelma","Lindau","","1"
"8904","","Eranthemum","L.","","1"
"8905","","Eremomastax","Lindau","","1"
"25198","","Eriostrobilus","Bremek.","9075","1"
"24913","","Erythracanthus","Nees","9064","1"
"24977","","Ethesia","Raf.","8942","1"
"8906","","Eusiphon","Benoist","","1"
"8907","","Filetia","Miq.","","1"
"8908","","Fittonia","Coem.","","1"
"8909","","Forcipella","Baill.","","1"
"20528","","Forsythiopsis","Baker","8988","1"
"24978","","Gantelbua","Bremek.","8925","1"
"8910","","Gastranthus","Moritz ex Benth. & Hook.","9069","1"
"24979","","Gatesia","A.Gray","9111","1"
"8911","","Geissomeria","Lindl.","","1"
"24914","","Gendarussa","Nees","8942","1"
"8320","","Gerardia","Benth.","9067","1"
"20490","","Gilletiella","De Wild. & T.Durand","8819","1"
"8912","","Glockeria","Nees","8920","1"
"24981","","Glosarithys","Rizzini","8942","1"
"8913","","Glossochilus","Nees","","1"
"24980","","Golaea","Chiov.","","1"
"8914","","Goldfussia","Nees","9075","1"
"8915","","Graphandra","J.B.Imlay","","1"
"8916","","Graptophyllum","Nees","","1"
"8917","","Gutzlaffia","Hance","9075","1"
"25199","","Gymapsis","Bremek.","9075","1"
"20498","","Gymnacanthus","Oerst.","9037","1"
"8918","","Gymnostachyum","Nees","","1"
"8919","","Gynocraterium","Bremek.","","1"
"17422","","Gypsacanthus","Lott, V.Jaram. & Rzed.","","1"
"8920","","Habracanthus","Nees","","1"
"20505","","Haemacanthus","S.Moore","9046","1"
"8921","","Hallieracantha","Stapf","9028","1"
"8922","","Hansteinia","Oerst.","8920","1"
"20527","","Haplanthera","Hochst.","9041","1"
"22085","","Haplanthodes","Kuntze","","1"
"14801","","Haplanthoides","H.W.Li","8814","1"
"8923","","Haplanthus","Nees","8814","1"
"24982","","Harnieria","Solms","8942","1"
"8924","","Harpochilus","Nees","","1"
"23239","","Harrachia","Jacq.","8872","1"
"20506","","Haselhoffia","Lindau","9011","1"
"24986","","Heinzelia","Nees","8942","1"
"25834","","Hemiadelphis","Nees","8933","1"
"24983","","Hemichoriste","Nees","8942","1"
"8925","","Hemigraphis","Nees","","1"
"24984","","Hemisandra","Scheidw.","8822","1"
"8926","","Henrya","Nees","","1"
"8927","","Herpetacanthus","Nees","","1"
"8928","","Heteradelphia","Lindau","","1"
"24985","","Heteraspidia","Rizzini","8942","1"
"8929","","Himantochilus","T.Anderson ex Benth.","8818","1"
"8930","","Holographis","Nees","","1"
"8931","","Hoverdenia","Nees","","1"
"8932","","Hulemacanthus","S.Moore","","1"
"24987","","Hydromestus","Scheidw.","8822","1"
"8933","","Hygrophila","R.Br.","","1"
"8934","","Hymenochlaena","Bremek.","9075","1"
"8935","","Hypoestes","Sol. ex R.Br.","","1"
"15968","","Indoneesiella","Sreem.","","1"
"8936","","Ionacanthus","Benoist","","1"
"24918","","Isacanthus","Nees","9052","1"
